Tanggal,SU,KU,CH
8/4/2008,20.2,77,0
8/5/2008,20.9,76,0
8/6/2008,20,80,0
8/7/2008,22.4,65,0
8/8/2008,20.8,75,0
8/9/2008,21.5,73,0
8/10/2008,20.3,79,0
8/11/2008,21.7,77,0
8/12/2008,21.4,86,0
8/13/2008,20,92,0
8/14/2008,20.3,86,0
8/15/2008,19.1,93,8
8/16/2008,20.3,85,0
8/17/2008,21.5,72,0
8/18/2008,20.3,83,0
8/19/2008,21,84,0
8/20/2008,20.6,86,1
8/21/2008,20.9,86,2
8/22/2008,21,79,39
8/23/2008,21.3,82,24
8/24/2008,19.4,89,0
8/25/2008,20.9,84,1
8/26/2008,21,80,0
8/27/2008,21.7,77,0
8/28/2008,20.5,84,0
8/29/2008,20,88,0
8/30/2008,20.5,91,0
8/31/2008,19.8,92,0
9/1/2008,20.7,90,38
9/2/2008,21.7,82,1
9/3/2008,21.7,80,0
9/4/2008,21,80,0
9/5/2008,20.8,80,0
9/6/2008,20.8,77,0
9/7/2008,21.2,87,0
9/8/2008,20.6,88,0
9/9/2008,20.4,85,1
9/10/2008,21.1,84,28
9/11/2008,21,88,5
9/12/2008,21.5,82,0
9/13/2008,21.6,83,0
9/14/2008,21.9,73,0
9/15/2008,23.2,64,0
9/16/2008,21.4,62,0
9/17/2008,21.9,68,6
9/18/2008,22.6,74,0
9/19/2008,21.3,82,0
9/20/2008,22.3,77,0
9/21/2008,21.4,80,0
9/22/2008,20.9,78,0
9/23/2008,21.2,73,0
9/24/2008,21.3,82,1
9/25/2008,20.2,78,43
9/26/2008,20.4,86,11
9/27/2008,21.3,75,18
9/28/2008,20.9,87,8
9/29/2008,21.1,83,0
9/30/2008,20.9,82,0
10/1/2008,19.2,83,26
10/2/2008,19.9,85,2
10/3/2008,20.1,88,2
10/4/2008,20.2,89,0
10/5/2008,20.1,86,25
10/6/2008,20.1,86,0
10/7/2008,20.1,86,1
10/8/2008,20,86,1
10/9/2008,22,81,5
10/10/2008,20.9,80,0
10/11/2008,20.8,86,0
10/12/2008,21.2,84,0
10/13/2008,23.1,74,0
10/14/2008,21.7,86,0
10/15/2008,21.8,75,3
10/16/2008,20.6,89,0
