Tanggal,SU,KU,CH
7/30/2010,22.7,73,6
7/31/2010,23,80,0
8/1/2010,21.6,82,0
8/2/2010,20.8,88,0
8/3/2010,21,83,0
8/4/2010,20.5,90,31
8/5/2010,21,94,4
8/6/2010,20.7,88,4
8/7/2010,21.1,85,19
8/8/2010,20.7,86,0
8/9/2010,20.3,91,4
8/10/2010,21.5,82,28
8/11/2010,22.3,80,0
8/12/2010,22.2,81,0
8/13/2010,22.8,78,0
8/14/2010,22.2,86,0
8/15/2010,21,91,0
8/16/2010,20.7,92,1
8/17/2010,20.3,94,7
8/18/2010,20.7,90,19
8/19/2010,21.5,84,2
8/20/2010,20.8,87,4
8/21/2010,21.9,85,10
8/22/2010,21.9,81,6
8/23/2010,22.4,79,3
8/24/2010,21.2,90,0
8/25/2010,21.5,88,34
8/26/2010,22.9,79,69
8/27/2010,19.7,88,7
8/28/2010,20.7,88,49
8/29/2010,21.5,82,8
8/30/2010,22.1,76,0
8/31/2010,21.7,80,0
9/1/2010,20.5,86,0
9/2/2010,20.8,89,70
9/3/2010,21.1,91,20
9/4/2010,22.3,84,39
9/5/2010,21.2,86,0
9/6/2010,20.5,92,7
9/7/2010,20.3,86,9
9/8/2010,20.1,89,7
9/9/2010,21.7,80,18
9/10/2010,20.3,87,9
9/11/2010,21,81,12
9/12/2010,21.5,82,8
9/13/2010,21,88,0
9/14/2010,21.9,84,21
9/15/2010,20.7,90,3
9/16/2010,21,84,1
9/17/2010,20.7,87,2
9/18/2010,21.2,86,29
9/19/2010,22.5,82,0
9/20/2010,22,86,1
9/21/2010,21.2,90,2
9/22/2010,20.2,88,5
9/23/2010,20.7,86,33
9/24/2010,20.7,90,20
9/25/2010,21,84,30
9/26/2010,22,80,7
9/27/2010,21.2,91,2
9/28/2010,22,84,16
9/29/2010,22,84,0
9/30/2010,21.7,86,4
10/1/2010,22,86,0
10/2/2010,21.2,91,4
10/3/2010,21.9,82,5
10/4/2010,23,71,12
10/5/2010,21.6,87,0
10/6/2010,21.3,92,0
10/7/2010,21.1,85,38
10/8/2010,20.5,88,9
10/9/2010,20.9,87,18
10/10/2010,20.6,68,0
10/11/2010,21.5,59,0
10/12/2010,22.2,70,0
10/13/2010,21.6,88,2
10/14/2010,21,86,0
10/15/2010,22.2,80,40
10/16/2010,22,79,20.5
10/17/2010,22.5,78,1
10/18/2010,20.5,90,15.5
10/19/2010,20.7,88,30
10/20/2010,21,95,7
10/21/2010,22,84,78
10/22/2010,20.7,90,5
10/23/2010,22.7,80,16
10/24/2010,20.7,95,6
10/25/2010,20.8,91,12
10/26/2010,20.4,95,19
10/27/2010,21,88,27
10/28/2010,20.5,92,2
10/29/2010,20.1,95,19
10/30/2010,19.9,94,10
10/31/2010,21.9,82,67
11/1/2010,22.1,84,0
11/2/2010,22.2,82,0
11/3/2010,22,79,0.5
11/4/2010,20.7,88,1
11/5/2010,21.8,87,30
11/6/2010,22.6,78,1
11/7/2010,21.4,84,0
11/8/2010,20.8,89,2
11/9/2010,21.6,87,3
11/10/2010,21.9,85,6
11/11/2010,23.3,72,0
11/12/2010,22.6,80,2.5
11/13/2010,20.5,92,5
11/14/2010,20.8,89,57
11/15/2010,21.3,85,6
11/16/2010,20.5,87,2
11/17/2010,21.3,86,17
11/18/2010,21.7,86,0
11/19/2010,21.8,89,6
11/20/2010,21.9,89,4
11/21/2010,21.2,89,7
11/22/2010,22,83,9
11/23/2010,21,95,1
11/24/2010,21.8,88,1
11/25/2010,20.6,92,28
11/26/2010,21.1,92,53
11/27/2010,20.7,90,1
11/28/2010,20.7,92,14
11/29/2010,21.6,86,30
11/30/2010,21.6,86,2
12/1/2010,21,86,5
12/2/2010,22.1,86,38
12/3/2010,21.9,90,23
12/4/2010,20.6,92,8
12/5/2010,21.8,90,28
12/6/2010,20.9,90,9
12/7/2010,20.6,92,38
12/8/2010,21.1,86,5
12/9/2010,21.8,78,13
12/10/2010,20.8,87,3
12/11/2010,19.3,92,9
12/12/2010,19.8,91,5
12/13/2010,21.4,82,1
12/14/2010,20.4,89,0
12/15/2010,21,86,19
12/16/2010,19.5,92,5
12/17/2010,20.5,87,23
12/18/2010,21.3,79,13
12/19/2010,21.9,76,16
12/20/2010,19.8,91,3
12/21/2010,19.9,92,1
12/22/2010,20,86,7
12/23/2010,20.4,90,9
12/24/2010,21.6,86,2
12/25/2010,20.9,83,2
12/26/2010,20.3,82,2
12/27/2010,20.2,81,6
12/28/2010,20,90,8
12/29/2010,21.2,79,11.5
12/30/2010,20.3,94,13
12/31/2010,20.8,90,15
1/1/2011,21,85,1
1/2/2011,21.1,81,7
1/3/2011,19.8,92,0
1/4/2011,20.3,90,10
1/5/2011,20.8,90,6
1/6/2011,20.6,90,10
1/7/2011,20.2,94,10
1/8/2011,20.5,88,5.5
1/9/2011,20,95,1
1/10/2011,20.5,85,99
1/11/2011,19.8,90,1
1/12/2011,20.1,88,10
1/13/2011,20.4,88,19
1/14/2011,21.5,72,45
1/15/2011,20.6,82,0
1/16/2011,20,87,7
1/17/2011,19.8,95,4
1/18/2011,19.7,93,14
1/19/2011,20.7,90,3
1/20/2011,20.5,84,2
1/21/2011,20,88,1
1/22/2011,20.4,90,1
1/23/2011,19.9,91,5
1/24/2011,20.1,87,68
1/25/2011,20.5,91,1
1/26/2011,20.3,90,0
1/27/2011,20.6,89,24
1/28/2011,20.1,96,34
1/29/2011,20.2,90,4
1/30/2011,21.9,74,4
1/31/2011,21.8,83,0
2/1/2011,19.7,92,0
2/2/2011,20.4,86,34
2/3/2011,20.4,90,12
2/4/2011,19.3,96,8
2/5/2011,22.2,93,30
2/6/2011,20.4,90,8
2/7/2011,19.8,94,10
2/8/2011,20.9,88,6
2/9/2011,21.6,66,15
2/10/2011,22.2,75,0
2/11/2011,21.4,79,0
2/12/2011,21.5,84,0
2/13/2011,21.4,82,5
2/14/2011,20.9,89,19
2/15/2011,20.5,88,19
2/16/2011,20.6,88,0
2/17/2011,21.2,84,19
2/18/2011,21.8,80,11
2/19/2011,22,83,3
2/20/2011,22,68,0
2/21/2011,21.9,78,0
2/22/2011,21.4,81,0
2/23/2011,21.3,80,0
2/24/2011,20.6,82,0
2/25/2011,20.1,86,2
2/26/2011,21.2,85,4
2/27/2011,19.5,94,8
2/28/2011,18.9,97,65
3/1/2011,21.8,70,20
3/2/2011,22.3,56,1
3/3/2011,20.2,88,0
3/4/2011,20.4,90,10
3/5/2011,19.4,95,7
3/6/2011,20.7,86,15
3/7/2011,21.8,79,15
3/8/2011,20.1,89,0
3/9/2011,21.3,89,14
3/10/2011,20.9,88,16
3/11/2011,21.5,84,3
3/12/2011,22,74,10
3/13/2011,21.9,77,8
3/14/2011,23,68,6
3/15/2011,21,84,0
3/16/2011,21.8,78,3
3/17/2011,22.2,78,0
3/18/2011,21.8,84,25
3/19/2011,21.1,88,3
3/20/2011,21.2,90,7
3/21/2011,21,86,3
3/22/2011,21.2,82,1
3/23/2011,20.9,86,0
3/24/2011,21.4,82,4
3/25/2011,20.5,91,8
3/26/2011,20.4,92,19
3/27/2011,20.9,88,4
3/28/2011,21.1,85,4
3/29/2011,21,84,0
3/30/2011,19.3,97,10
3/31/2011,20.4,86,21
4/1/2011,21.6,85,8
4/2/2011,22.7,76,0
4/3/2011,22.1,78,0
4/4/2011,21.8,83,4
4/5/2011,21.8,80,6
4/6/2011,21.5,84,6
4/7/2011,21.8,82,2
4/8/2011,21.8,83,0
4/9/2011,21.5,86,3
4/10/2011,21.9,84,0
4/11/2011,20.9,84,1
4/12/2011,21.3,86,8
4/13/2011,21.5,82,4
4/14/2011,20.7,84,0
4/15/2011,20.9,83,20
4/16/2011,21.3,81,0
4/17/2011,21.4,83,1
4/18/2011,20.1,86,0
4/19/2011,22,82,1
4/20/2011,21.5,87,0
4/21/2011,21,89,9
4/22/2011,20.5,91,29
4/23/2011,20.6,92,10
4/24/2011,20.8,93,13
4/25/2011,20.9,90,19
4/26/2011,20.5,92,17
4/27/2011,21.1,92,9
4/28/2011,21.6,86,8
4/29/2011,21,89,7
4/30/2011,21,91,34
5/1/2011,21,88,10
5/2/2011,21.6,84,12
5/3/2011,21.3,85,2
5/4/2011,22.7,73,0
5/5/2011,21.2,86,1
5/6/2011,21.5,86,10
5/7/2011,20.1,95,25
5/8/2011,20.7,95,30
5/9/2011,21.9,82,2
5/10/2011,21.7,87,0
5/11/2011,22.4,84,4
5/12/2011,22.2,84,1
5/13/2011,22,84,0
5/14/2011,21.7,89,6
5/15/2011,21.8,82,9
5/16/2011,21.9,82,5
5/17/2011,21.6,77,2
5/18/2011,21.2,88,0
5/19/2011,21.9,83,15
5/20/2011,21,85,22.5
5/21/2011,21.2,88,30
5/22/2011,21,87,0
5/23/2011,21.4,86,9
5/24/2011,22.2,89,2
5/25/2011,21.4,89,0
5/26/2011,21.1,90,8
5/27/2011,21.4,94,4
5/28/2011,21.4,88,3
5/29/2011,21.2,80,0
5/30/2011,21.6,80,0
5/31/2011,20.9,90,0
6/1/2011,22,87,0
6/2/2011,22.4,83,6
6/3/2011,22.2,69,0
6/4/2011,20.8,82,6
6/5/2011,21.8,80,38
6/6/2011,21.5,73,0
6/7/2011,21.5,74,0
6/8/2011,22.2,64,0
6/9/2011,21.6,70,0
6/10/2011,21.6,76,1
6/11/2011,20.9,66,0
6/12/2011,20.5,78,23
6/13/2011,21.9,78,0
6/14/2011,21.8,79,0
6/15/2011,21.3,78,0
6/16/2011,21,75,0
6/17/2011,20.7,72,0
6/18/2011,19.9,72,0
6/19/2011,20.4,80,0
6/20/2011,20.6,75,0
6/21/2011,21.4,79,0
6/22/2011,21.5,77,0
6/23/2011,21.7,73,0
6/24/2011,21.4,77,0
6/25/2011,20.9,80,0
6/26/2011,22.4,67,0
6/27/2011,21.7,84,0
6/28/2011,20.5,95,60
6/29/2011,20.7,87,6
6/30/2011,20.3,93,0
7/1/2011,20.2,86,23
7/2/2011,20.5,87,0
7/3/2011,20.8,87,0
7/4/2011,21,88,0
7/5/2011,20.5,88,0
7/6/2011,21.3,82,0
7/7/2011,20.9,80,0
7/8/2011,20.7,83,0
7/9/2011,21.5,84,0
7/10/2011,21.4,76,0
7/11/2011,21.2,80,0
7/12/2011,21.2,83,0
7/13/2011,20.8,90,0
7/14/2011,21.3,83,3
7/15/2011,21.7,83,0
7/16/2011,20.7,83,0
7/17/2011,19.8,86,2
7/18/2011,20.4,89,8
7/19/2011,20.8,88,0
7/20/2011,21.1,84,0
7/21/2011,20.8,84,0
7/22/2011,21.1,77,0
7/23/2011,21.4,82,0
7/24/2011,21.2,82,0
7/25/2011,20.7,78,0
7/26/2011,20.8,70,0
7/27/2011,20.4,78,0
7/28/2011,20.5,75,0
7/29/2011,21.3,76,0
7/30/2011,20.6,78,0
7/31/2011,20.4,71,0
8/1/2011,21.6,76,0
8/2/2011,23,66,0
8/3/2011,21.6,78,0
8/4/2011,20.8,78,0
8/5/2011,21.4,78,0
8/6/2011,20.4,78,0
8/7/2011,19.8,80,0
8/8/2011,20.9,77,0
8/9/2011,21.3,70,0
8/10/2011,21.3,68,0
8/11/2011,20.9,80,0
8/12/2011,20.9,74,0
8/13/2011,21.3,72,0
8/14/2011,21.4,77,0
8/15/2011,21.1,81,0
8/16/2011,20.7,81,0
8/17/2011,21.2,76,0
8/18/2011,20.6,89,0
8/19/2011,20.8,84,3
8/20/2011,21.5,77,0
8/21/2011,21,76,0
8/22/2011,20.6,75,0
8/23/2011,20.5,78,0
8/24/2011,21,73,0
8/25/2011,21,70,0
8/26/2011,20.1,70,0
8/27/2011,20.6,60,0
8/28/2011,22.4,65,0
8/29/2011,20.9,73,0
8/30/2011,20.3,76,0
8/31/2011,22.3,74,5
9/1/2011,22.1,86,3
9/2/2011,21.3,81,1.5
9/3/2011,20.6,76,0
9/4/2011,20.6,73,0
9/5/2011,20.6,82,0
9/6/2011,21.1,80,0
9/7/2011,21.1,80,0
9/8/2011,20.2,76,0
9/9/2011,20.7,70,0
9/10/2011,20.5,77,0
9/11/2011,22.1,70,0
9/12/2011,22.2,72,0
9/13/2011,22.3,75,0
9/14/2011,22,78,0
9/15/2011,20.2,90,0
9/16/2011,21.4,82,11
9/17/2011,20.3,90,0
9/18/2011,19.7,92,19
9/19/2011,20.9,89,17
9/20/2011,21,82,2
9/21/2011,20.2,84,0
9/22/2011,20.7,82,3
9/23/2011,21.6,79,0
9/24/2011,21.2,75,0
9/25/2011,21.3,79,0
9/26/2011,21.7,74,0
9/27/2011,20.8,79,0
9/28/2011,21,74,0
9/29/2011,21.2,70,3
9/30/2011,20.8,76,0
10/1/2011,21.4,78,6
10/2/2011,22.1,80,0
10/3/2011,21.5,80,0
10/4/2011,21.3,80,0
10/5/2011,21.2,83,0
10/6/2011,20.9,80,1
10/7/2011,22.4,80,0
10/8/2011,20.5,88,8
10/9/2011,21.7,77,6
10/10/2011,21.4,84,0
10/11/2011,21.6,84,27
10/12/2011,21.2,84,8
10/13/2011,22,77,27
10/14/2011,21.7,80,0
10/15/2011,22.5,65,0
10/16/2011,23.7,70,0
10/17/2011,21.9,80,0
10/18/2011,23,73,0
10/19/2011,22,78,0
10/20/2011,21.5,80,0
10/21/2011,23.1,70,13
10/22/2011,22.2,82,11.5
10/23/2011,21.1,90,10
10/24/2011,23.1,78,26
10/25/2011,21.5,88,0
10/26/2011,21.8,84,9
10/27/2011,22.9,78,5
10/28/2011,21.2,92,52
10/29/2011,22.7,80,20
10/30/2011,21.5,92,53
10/31/2011,21.2,90,13
11/1/2011,21,90,50
11/2/2011,21.2,88,7
11/3/2011,21.5,88,40
11/4/2011,20.1,81,2
11/5/2011,20.8,83,0
11/6/2011,20.9,84,0
11/7/2011,21.4,65,0
11/8/2011,19.9,88,2
11/9/2011,20.5,88,3
11/10/2011,21.2,86,0
11/11/2011,21.8,84,0
11/12/2011,21.6,84,3
11/13/2011,20.8,87,13
11/14/2011,20.4,88,7
11/15/2011,20.6,88,20
11/16/2011,21.4,86,2
11/17/2011,20.1,94,3
11/18/2011,21.4,90,118
11/19/2011,21.8,86,24
11/20/2011,21.1,92,29
11/21/2011,20.8,86,23
11/22/2011,20.7,90,17
11/23/2011,21.3,84,3
11/24/2011,22,87,7
11/25/2011,21.2,95,18
11/26/2011,23,79,2
11/27/2011,21.8,88,0
11/28/2011,20.8,91,6
11/29/2011,21.7,91,10
11/30/2011,21.5,92,8
12/1/2011,22.8,88,50
12/2/2011,20.7,94,0
12/3/2011,21,80,23
12/4/2011,21,80,0
12/5/2011,21.9,80,9
12/6/2011,21.4,83,0
12/7/2011,21.3,80,0
12/8/2011,21.1,82,18
12/9/2011,21.5,81,10
12/10/2011,20.5,86,1
12/11/2011,21.3,85,6
12/12/2011,21.1,85,7
12/13/2011,20.7,90,8
12/14/2011,21.1,91,9
12/15/2011,21.1,89,2
12/16/2011,21.6,88,9
12/17/2011,21.6,88,0
12/18/2011,21.4,89,1
12/19/2011,21.2,86,0
12/20/2011,20.9,91,1
12/21/2011,22.4,80,1
12/22/2011,22.4,81,2
12/23/2011,22.5,84,1
12/24/2011,21.5,88,2.5
12/25/2011,22,92,4
12/26/2011,20.7,94,25
12/27/2011,21.4,94,7
12/28/2011,22.1,86,58
12/29/2011,21.9,80,29.5
12/30/2011,22.4,80,1
12/31/2011,22.1,84,7
1/1/2012,20.6,90,4
1/2/2012,20.4,92,27
1/3/2012,20.8,95,4
1/4/2012,22,87,14
1/5/2012,21.3,86,0
1/6/2012,20.5,93,10
1/7/2012,19.8,88,26
1/8/2012,20.5,88,18
1/9/2012,21.4,82,8
1/10/2012,19.8,96,1
1/11/2012,20,97,9
1/12/2012,19.4,93,7
1/13/2012,19.4,97,23
1/14/2012,19.2,97,27
1/15/2012,20.5,92,11
1/16/2012,20.5,84,4
1/17/2012,21.8,85,21
1/18/2012,21.3,88,25
1/19/2012,21,84,7
1/20/2012,20.8,84,0
1/21/2012,21.5,81,6
1/22/2012,21.4,85,7
1/23/2012,19.6,94,0
1/24/2012,20.9,86,15
1/25/2012,19.7,93,3
1/26/2012,20.1,97,16
1/27/2012,21.4,86,35
1/28/2012,20.1,92,1
1/29/2012,19.5,95,24
1/30/2012,20.4,91,0
1/31/2012,21,82,31
2/1/2012,21.6,85,3
2/2/2012,20.9,89,18
2/3/2012,20.9,85,12
2/4/2012,21,92,15
2/5/2012,21.1,84,2
2/6/2012,20.4,84,11
2/7/2012,21.2,82,23
2/8/2012,21.6,87,0
2/9/2012,21.1,90,1
2/10/2012,20.1,90,13
2/11/2012,20.1,88,10
2/12/2012,20.8,88,5
2/13/2012,21.6,85,33
2/14/2012,21.4,88,7
2/15/2012,21.3,87,1
2/16/2012,21.1,90,6
2/17/2012,20.3,93,10
2/18/2012,21.4,86,43
2/19/2012,20.4,94,15
2/20/2012,20.1,92,4
2/21/2012,21.2,86,8
2/22/2012,21.7,85,0
2/23/2012,21.8,88,3
2/24/2012,21.4,90,25
2/25/2012,21.5,88,1
2/26/2012,22.3,89,30
2/27/2012,21.2,90,20
2/28/2012,21.5,88,2
2/29/2012,19.9,96,27
3/1/2012,20.4,92,16
3/2/2012,20.7,92,15
3/3/2012,22.3,73,33
3/4/2012,19.6,90,0
3/5/2012,21.1,87,17
3/6/2012,21.9,85,5
3/7/2012,21.6,84,0
3/8/2012,20.8,80,36
3/9/2012,21.3,88,1
3/10/2012,20.5,88,3
3/11/2012,20.8,90,19
3/12/2012,20.9,84,2
3/13/2012,20.4,83,2
3/14/2012,21,81,6
3/15/2012,20.9,84,1
3/16/2012,21.6,82,0
3/17/2012,20.8,82,0
3/18/2012,21.3,78,3
3/19/2012,20.4,86,4
3/20/2012,21,82,15
3/21/2012,22.2,74,7
3/22/2012,22.3,76,2
3/23/2012,22.7,74,1
3/24/2012,22.3,79,0
3/25/2012,22.1,80,0
3/26/2012,21.5,86,10
3/27/2012,20.7,90,2
3/28/2012,20.5,83,12
3/29/2012,20.6,88,15
3/30/2012,20.5,94,11
3/31/2012,21.2,88,2
4/1/2012,21.1,91,4
4/2/2012,20.7,89,2
4/3/2012,19.9,94,44
4/4/2012,21.4,84,49
4/5/2012,19.6,94,34
4/6/2012,20.8,87,19
4/7/2012,21.3,88,1
4/8/2012,20.7,88,24.5
4/9/2012,19.9,94,48
4/10/2012,22.5,69,23
4/11/2012,20.6,80,0
4/12/2012,21.4,86,11
4/13/2012,20.6,93,9
4/14/2012,21.7,83,15
4/15/2012,21.7,88,46
4/16/2012,22.4,84,0
4/17/2012,21.1,89,0
4/18/2012,21.7,86,2
4/19/2012,21.5,92,2
4/20/2012,21.5,90,0
4/21/2012,21.1,93,0
4/22/2012,21.1,90,5
4/23/2012,22.2,85,2
4/24/2012,22.5,85,0
4/25/2012,21.8,79,0
4/26/2012,21.5,82,0
4/27/2012,21.8,88,4
4/28/2012,22.1,86,0
4/29/2012,21.2,94,10
4/30/2012,21,92,22
5/1/2012,21.6,86,25
5/2/2012,22.3,84,7
5/3/2012,22,90,8.5
5/4/2012,21.2,80,10
5/5/2012,21.2,87,0
5/6/2012,21.6,88,1
5/7/2012,20.2,94,11
5/8/2012,20.8,90,6
5/9/2012,21.6,90,1
5/10/2012,21.9,85,0
5/11/2012,21.9,83,0
5/12/2012,21.8,76,0
5/13/2012,21.3,81,0
5/14/2012,21.9,88,4
5/15/2012,21.4,87,7
5/16/2012,21.6,88,0
5/17/2012,22.1,86,3
5/18/2012,21,90,3
5/19/2012,23.3,66,13
5/20/2012,22.7,81,0
5/21/2012,22,84,7.5
5/22/2012,21.7,76,15
5/23/2012,21.6,74,0
5/24/2012,22,87,1
5/25/2012,21.8,78,1
5/26/2012,21.7,74,0
5/27/2012,22.8,71,0
5/28/2012,22,78,0
5/29/2012,21.8,84,2
5/30/2012,21.3,90,39
5/31/2012,19.5,83,1
6/1/2012,21,86,4
6/2/2012,21.5,84,0
6/3/2012,21.4,85,3
6/4/2012,21.3,90,0
6/5/2012,21.5,89,0
6/6/2012,22.2,88,2
6/7/2012,21.6,88,33
6/8/2012,22.5,85,9
6/9/2012,21.4,84,7
6/10/2012,21.7,90,0
6/11/2012,21.8,86,0
6/12/2012,22.1,85,2
6/13/2012,22.5,85,0
6/14/2012,22.2,85,0
6/15/2012,21.1,86,0
6/16/2012,21.9,75,0
6/17/2012,20.2,73,0
6/18/2012,22,76,0
6/19/2012,23.5,66,0
6/20/2012,22.2,76,0
6/21/2012,22.3,74,0
6/22/2012,21.4,86,0
6/23/2012,21.1,86,4
6/24/2012,21.5,79,0
6/25/2012,21.3,72,0
6/26/2012,20.7,77,0
6/27/2012,20.4,76,0
6/28/2012,21,75,0
6/29/2012,20.9,82,0
6/30/2012,21,81,0
7/1/2012,21.1,72,0
7/2/2012,21.8,66,0
7/3/2012,20.6,86,0
7/4/2012,20.3,89,25
7/5/2012,20.5,84,7
7/6/2012,20.7,89,2
7/7/2012,21,80,1
7/8/2012,21.1,85,0
7/9/2012,21.1,86,1
7/10/2012,21.2,84,0
7/11/2012,20.5,87,0
7/12/2012,21.4,76,0
7/13/2012,21.4,82,2
7/14/2012,20.5,84,0
7/15/2012,21,86,0
7/16/2012,21.7,80,0
7/17/2012,20.4,86,2
7/18/2012,20.4,85,0
7/19/2012,21.2,84,0
7/20/2012,20.7,86,1
7/21/2012,21.3,83,1
7/22/2012,20.9,83,0
7/23/2012,20.5,76,0
7/24/2012,20.4,84,0
7/25/2012,20.5,82,0
7/26/2012,20.4,82,0
7/27/2012,21.8,75,0
7/28/2012,21.1,77,0
7/29/2012,20.6,82,0
7/30/2012,21,78,0
7/31/2012,20.7,75,0
8/1/2012,20.4,78,0
8/2/2012,20.3,76,0
8/3/2012,20.3,74,0
8/4/2012,21.7,78,0
8/5/2012,22.5,75,0
8/6/2012,21.2,83,0
8/7/2012,21,86,10
8/8/2012,20.7,80,0
8/9/2012,20.3,81,0
8/10/2012,21.1,76,0
8/11/2012,22,76,0
8/12/2012,21,83,0
8/13/2012,22,82,0
8/14/2012,20.9,78,0
8/15/2012,20.7,74,0
8/16/2012,19.9,73,0
8/17/2012,20.7,76,0
8/18/2012,21.1,72,0
8/19/2012,21.4,75,0
8/20/2012,21.1,73,0
8/21/2012,21.2,73,0
8/22/2012,20.8,78,0
8/23/2012,21,79,0
8/24/2012,20.9,79,0
8/25/2012,21,75,0
8/26/2012,21.1,74,0
8/27/2012,21.2,78,0
8/28/2012,22.2,81,0.5
8/29/2012,21.4,86,1
8/30/2012,21.3,79,1
8/31/2012,20.4,80,0
9/1/2012,21,65,0
9/2/2012,20.8,69,0
9/3/2012,20.4,71,0
9/4/2012,20.6,71,0
9/5/2012,20.9,76,1
9/6/2012,21.2,76,0
9/7/2012,20.9,78,27
9/8/2012,22.1,72,0
9/9/2012,21.4,77,0
9/10/2012,21,84,4
9/11/2012,21.7,78,36
9/12/2012,20.5,64,0
9/13/2012,20.8,78,0
9/14/2012,21.6,76,0
9/15/2012,22.7,77,0
9/16/2012,21.8,80,3
9/17/2012,21.1,87,0
9/18/2012,22.2,81,2
9/19/2012,21.7,83,0
9/20/2012,21.4,84,0
9/21/2012,21.6,88,17
9/22/2012,21.7,73,1
9/23/2012,21.7,84,0
9/24/2012,22,81,9
9/25/2012,21.3,80,0
9/26/2012,21.3,75,0
9/27/2012,22,76,0
9/28/2012,21.7,73,0
9/29/2012,21.5,83,0
9/30/2012,21.7,84,22
10/1/2012,22,83,0
10/2/2012,21.3,89,0
10/3/2012,22.2,80,9
10/4/2012,20.9,87,0
10/5/2012,20.7,88,5
10/6/2012,21.2,82,22
10/7/2012,20.1,93,2
10/8/2012,21.1,86,3
10/9/2012,21,90,8
10/10/2012,21.7,82,19
10/11/2012,22.2,79,50
10/12/2012,21.8,88,0
10/13/2012,22,78,0
10/14/2012,22.3,79,0
10/15/2012,21.6,85,0
10/16/2012,22.7,81,1
10/17/2012,21.6,84,0
10/18/2012,21.8,84,18
10/19/2012,21.9,86,20
10/20/2012,21.5,86,1
10/21/2012,20.6,90,22
10/22/2012,21.5,88,35
10/23/2012,22,72,0
10/24/2012,21.8,78,0
10/25/2012,21.8,82,0
10/26/2012,22.4,88,8
10/27/2012,21.2,92,33
10/28/2012,21.4,89,0
10/29/2012,22.6,83,0
10/30/2012,21.6,88,2
10/31/2012,21.8,88,4
11/1/2012,22.3,83,14
11/2/2012,21.7,85,0
11/3/2012,21.4,93,10
11/4/2012,20.8,92,5
11/5/2012,21.2,90,5
11/6/2012,21.2,90,8
11/7/2012,21.5,86,2
11/8/2012,21.7,89,0
11/9/2012,21.8,92,7
11/10/2012,21.6,88,1
11/11/2012,20.9,89,7
11/12/2012,21.6,88,20
11/13/2012,21.7,88,1
11/14/2012,20.6,94,15
11/15/2012,21.8,88,14
11/16/2012,21.7,88,2
11/17/2012,22.7,85,24
11/18/2012,20,94,13
11/19/2012,20.4,92,48
11/20/2012,20.8,92,35
11/21/2012,20.6,92,6
11/22/2012,20.9,90,14
11/23/2012,21.3,90,13
11/24/2012,19.4,90,42
11/25/2012,21.4,84,24
11/26/2012,20.5,92,10
11/27/2012,22,84,9
11/28/2012,21.1,90,15
11/29/2012,21.6,86,1
11/30/2012,20.8,92,1
12/1/2012,21.8,89,11
12/2/2012,22.4,85,23
12/3/2012,21.4,87,1
12/4/2012,21.3,88,0
12/5/2012,22.4,82,7
12/6/2012,21.2,86,0
12/7/2012,21.5,88,12
12/8/2012,21,93,4
12/9/2012,22.1,88,63
12/10/2012,20.7,93,22
12/11/2012,22,90,55
12/12/2012,20.5,89,0
12/13/2012,21,90,21
12/14/2012,20.4,93,0
12/15/2012,21.8,87,17
12/16/2012,21.2,89,2
12/17/2012,20.6,91,10
12/18/2012,20.6,94,16
12/19/2012,21.8,84,3
12/20/2012,21.2,87,1
12/21/2012,20.5,88,11
12/22/2012,21.1,89,8
12/23/2012,20.7,90,43
12/24/2012,21.3,86,62
12/25/2012,20.9,90,0
12/26/2012,22,86,17
12/27/2012,22,89,1
12/28/2012,21.7,90,2
12/29/2012,21.8,91,4
12/30/2012,21.2,93,3
12/31/2012,19.9,94,4
1/1/2013,21.3,89,10
1/2/2013,21.6,90,47
1/3/2013,21.4,89,0
1/4/2013,20,97,0
1/5/2013,20.8,85,26
1/6/2013,20,94,42
1/7/2013,20.4,91,8
1/8/2013,20.3,92,9
1/9/2013,19.3,98,71
1/10/2013,21.8,83,66
1/11/2013,20.6,93,2
1/12/2013,19.8,92,21
1/13/2013,19.8,98,26
1/14/2013,19.8,97,33
1/15/2013,19.2,98,100
1/16/2013,19.6,100,54
1/17/2013,19.6,98,70
1/18/2013,19.6,98,98
1/19/2013,20.6,93,24
1/20/2013,21.2,88,8
1/21/2013,21.3,94,7
1/22/2013,20.2,92,0
1/23/2013,19.6,95,42
1/24/2013,20.3,90,27
1/25/2013,21.1,92,12
1/26/2013,21.2,88,5
1/27/2013,20.6,88,24
1/28/2013,20.7,90,3
1/29/2013,21.7,89,2
1/30/2013,21.1,92,0
1/31/2013,20.1,92,14
2/1/2013,21.4,84,69
2/2/2013,20.3,95,48.5
2/3/2013,21.1,86,28
2/4/2013,21.4,90,20.5
2/5/2013,20.6,94,13
2/6/2013,21,90,24
2/7/2013,21.2,89,9
2/8/2013,21.2,88,16
2/9/2013,21.1,88,0
2/10/2013,20.7,90,4
2/11/2013,21.4,92,2
2/12/2013,20.7,92,36
2/13/2013,20.6,88,70
2/14/2013,20.5,94,16
2/15/2013,21.1,85,7
2/16/2013,21.1,90,17
2/17/2013,19.8,96,27
2/18/2013,20,96,9
2/19/2013,20.1,95,12
2/20/2013,20.9,90,3
2/21/2013,20.5,94,9
2/22/2013,20.1,92,2
2/23/2013,20,95,3
2/24/2013,21.3,84,15
2/25/2013,22.8,77,7.5
2/26/2013,22.2,80,0
2/27/2013,21.9,86,3.5
